# Original Contents
e_scandinavia;SCA;Scandinavia;Scandinavia Empire
k_sweden;SWE;Sweden;Sweden Kingdom
k_denmark;DAN;Denmark;Denmark Kingdom
k_norway;NOR;Norway;Norway Kingdom
k_finland;FIN;Finland;Finland Kingdom
d_finland;FIN;Finland;Finland Duchy
c_finland;FIN;Finland;Finland County
d_holstein;SHL;Holstein;Holstein Duchy
c_holstein;SHL;Holstein;Holstein County
d_gotland;GOT;Gotland;Gotland Duchy
c_gotland;GOT;Gotland;Gotland County
e_byzantium;BYZ;ByzantineEmpire;Byzantium Empire
k_bulgaria;BUL;Bulgaria;Bulgaria Kingdom
k_croatia;CRO;Croatia;Croatia Kingdom
d_croatia;CRO;Croatia;Croatia Duchy
k_byzantium;GRE;Greece;Greece Kingdom
k_serbia;SER;Serbia;Serbia Kingdom
k_hungary;HUN;Hungary;Hungary Kingdom
k_ottoman;TUR;Ottomans;Ottoman Kingdom
d_achaia;ACH;Principality of Achaia;Achaia Duchy
d_athens;ATH;Duchy of Athens;Athens Duchy
c_atheniai;ATH;Duchy of Athens;Athens County
k_bosnia;BOS;Bosnia;Bosnia Kingdom
d_bosnia;BOS;Bosnia;Bosnia Duchy
d_krete;CRT;Crete;Crete Duchy
k_cyprus;CYP;Cyprus;Cyprus Kingdom
d_cyprus;CYP;Cyprus;Cyprus Duchy
d_epirus;EPI;Epirus;Epirus Duchy
c_epeiros;EPI;Epirus;Epirus County
d_knights_hospitaler;KNI;Knights;Knights Hospitaler
d_transylvania;TRA;Transylvania;Transylvania Duchy
d_wallachia;WAL;Wallachia;Wallachia Duchy
c_naxos;NAX;Naxos;Naxos County
c_ragusa;RAG;Ragusa;Ragusa County
e_britannia;GBR;GreatBritain;Great Britain
k_england;ENG;England;England Kingdom
k_ireland;IRE;Ireland;Ireland Kingdom
k_scotland;SCO;Scotland;Scotland Kingdom
k_wales;WLS;Wales;Wales Kingdom
d_cornwall;CRN;Cornwall;Cornwall Duchy
c_cornwall;CRN;Cornwall;Cornwall County
d_lancaster;LAN;Lancaster;Lancaster Duchy
c_lancaster;LAN;Lancaster;Lancaster County
d_york;YOR;York;York Duchy
c_york;YOR;York;York County
d_northumberland;NOL;Northumberland;Northumberland Duchy
c_northumberland;NOL;Northumberland;Northumberland County
d_connacht;CNN;Connacht;Connacht Duchy
d_leinster;LEI;Leinster;Leinster Duchy
d_munster;MNS;Munster;Munster Duchy
c_tyrone;TYR;Tyrone;Tyrone County
c_connacht;CNN;Connacht;Connacht County
c_leinster;LEI;Leinster;Leinster County
k_lithuania;LIT;Lithuania;Lithuania Kingdom
k_poland;POL;Poland;Poland Kingdom
d_krakow;KRA;Krakow;Krakow Duchy
c_krakowskie;KRA;Krakow;Krakow County
d_mazovia;MAZ;Mazovia;Mazovia Duchy
d_prussia;PRU;Prussia;Prussia Duchy
d_courland;KUR;Kurland;Kurland Duchy
d_teutonic_order;TEU;Teutonicorder;Teutonic Order
c_danzig;DNZ;Danzig;Danzig County
c_zemigalians;RIG;Riga;Riga County
